list,max_key,u_rate,rq_rate,wrk_threads,rq_threads,rq_size,u_latency,c_latency,rq_latency,tot_thruput,u_thruput,c_thruput,rq_thruput,rq_len,avg_in_announce,avg_in_bags,reachable_nodes,avg_bundle_size
citrus-lockfree,100000,10.00,80.00,48,0,50,1041,686,8903,6147581,615017,3042835,4923997,25,0,142,0,0.00
citrus-lockfree,100000,10.00,80.00,64,0,50,2523,1028,12963,5674401,568866,2808880,4543759,24,0,190,0,0.00
citrus-lockfree,100000,10.00,80.00,80,0,50,3135,1056,16452,5577205,558223,2757460,4467490,24,0,239,0,0.00
citrus-lockfree,100000,10.00,80.00,96,0,50,3260,1457,21709,5358593,536831,2648050,4292152,24,0,287,0,0.00
citrus-bundle,100000,25.00,50.00,1,0,50,706,491,3140,601209,150225,748720,301240,24,0,0,49973,1.17
citrus-bundle,100000,25.00,50.00,16,0,50,925,550,3080,8956387,2241860,11160240,4482479,24,0,0,50080,1.17
citrus-bundle,100000,25.00,50.00,32,0,50,1217,769,3701,13760651,3444417,17136235,6888987,24,0,0,49752,1.17
citrus-bundle,100000,25.00,50.00,48,0,50,1471,888,4271,16562142,4143820,20634480,8291426,25,0,0,50127,1.17
citrus-bundle,100000,25.00,50.00,64,0,50,2429,1171,5121,17216136,4309181,21448225,8617310,25,0,0,49819,1.17
citrus-bundle,100000,25.00,50.00,80,0,50,2637,1271,5062,19799056,4954976,24652920,9913496,25,0,0,50003,1.17
citrus-bundle,100000,25.00,50.00,96,0,50,2757,1196,5357,21584229,5401433,26893035,10804189,25,0,0,50021,1.17
citrus-lockfree,100000,25.00,50.00,1,0,50,513,368,2171,993579,248247,1236730,497986,24,0,0,0,0.00
citrus-lockfree,100000,25.00,50.00,16,0,50,552,379,3166,9064304,2267866,11289570,4538524,24,0,46,0,0.00
citrus-lockfree,100000,25.00,50.00,32,0,50,721,477,5536,9989477,2499069,12443500,5001708,24,0,95,0,0.00
citrus-lockfree,100000,25.00,50.00,48,0,50,858,573,8791,9047921,2264993,11264655,4529997,24,0,145,0,0.00
citrus-lockfree,100000,25.00,50.00,64,0,50,2432,677,16419,7157927,1790844,8911965,3584690,24,0,195,0,0.00
citrus-lockfree,100000,25.00,50.00,80,0,50,3216,764,22022,6813586,1705033,8484320,3411689,25,0,245,0,0.00
citrus-lockfree,100000,25.00,50.00,96,0,50,3302,869,26370,6368616,1594509,7935140,3187079,25,0,289,0,0.00
citrus-bundle,100000,40.00,20.00,1,0,50,633,451,2884,961166,385344,1918910,192040,24,0,0,50162,1.17
citrus-bundle,100000,40.00,20.00,16,0,50,975,592,3108,13170418,5273734,26298630,2636958,25,0,0,49860,1.17
citrus-bundle,100000,40.00,20.00,32,0,50,1331,850,3845,18698097,7488823,37320230,3745228,25,0,0,50112,1.17
citrus-bundle,100000,40.00,20.00,48,0,50,1632,1142,4723,21948314,8789584,43813145,4396101,24,0,0,50103,1.17
citrus-bundle,100000,40.00,20.00,64,0,50,2975,1634,6380,18784492,7523356,37500600,3761016,24,0,0,49836,1.17
citrus-bundle,100000,40.00,20.00,80,0,50,3936,1916,7420,19644723,7869417,39212635,3932779,24,0,0,49897,1.17
citrus-bundle,100000,40.00,20.00,96,0,50,3824,1556,7612,21553916,8630464,43031325,4317187,25,0,0,50242,1.17
citrus-lockfree,100000,40.00,20.00,1,0,50,417,327,1731,1661587,665491,3317650,332566,24,0,0,0,0.00
citrus-lockfree,100000,40.00,20.00,16,0,50,542,376,3558,15264926,6112513,30473885,3057636,24,0,48,0,0.00
